ciclo,vagas,inscritos,inscritos_por_vaga,presentes_prova_objetiva,ausentes_prova_objetiva,abstencao_pct
2021,1500,304330,202.9,205241,99089,32.6
2018/19,500,129152,258.3,,,
2013,1000,109769,109.8,,,
